Province;Care sector/Arrondissement;Flemish Region;Brussels;Walloon Region
West-Vlaanderen;Brugge;1,80%;-;-
-;Oostende;1,08%;-;-
-;Roeselare;2,04%;-;-
-;Kotrijk;1,80%;-;-
Oost-Vlaanderen;Gent;5,07%;-;-
-;Sint-Niklaas;1,36%;-;-
-;Aalst;1,95%;-;-
Vlaams-Brabant;West;1,95%;-;-
-;Leuven;2,77%;-;-
Antwerpen;Antwerpen;5,41%;-;-
-;Mechelen;2,33%;-;-
-;Turhout;2,55%;-;-
Limburg;Hasselt;3,45%;-;-
-;Genk;1,44%;-;-
Brussels;-;-;30%;-
Hainaut;Tournai;-;-;2,81%
-;Charleroi;-;-;3,93%
-;Thuin;-;-;1,38%
-;Mons;-;-;2,35%
-;Soignies;-;-;1,71%
Li`ege;Huy;-;-;1,73%
-;Li`ege;-;-;5,65%
-;Verviers;-;-;1,95%
-;German Community;-;-;3%
Luxembourg;Arlon;-;-;1,48%
-;Neufchateau;-;-;1,05%
Namur;Namur;-;-;2,84%
-;Dinant;-;-;1,60%
Brabant-Wallon;Nivelles;-;-;3,57%
